Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Bayanihan Today,@BayanihanToday,"https://pbs.twimg.com/media/GT4mDrRbwAIPzJo?format=jpg&name=small, https://pbs.twimg.com/media/GT4mDrRbwAIPzJo?format=jpg&name=small",,4,,59,https://x.com/BayanihanToday/status/1818933382996541828,https://x.com/BayanihanToday,"Itâ€™s heartwarming to see such generous support from the UAE for the victims of Typhoon Carina.
With 80 tons of relief goods arriving, it's clear that the UAE's support will make a significant difference in the recovery efforts.
#HumanitarianAid #Philippines #UAE #TyphoonCarina",Aug 1,2024-08-01T08:54:47.000Z
Ateneo Press,@ateneopress,"https://pbs.twimg.com/media/GTTE79saYAQ7UJD?format=jpg&name=small, https://pbs.twimg.com/media/GTTE79saYAQ7UJD?format=jpg&name=small",1,4,,232,https://x.com/ateneopress/status/1816293091453853794,https://x.com/ateneopress,"ğ—”ğ—¡ğ—¡ğ—¢ğ—¨ğ—¡ğ—–ğ—˜ğ— ğ—˜ğ—¡ğ—§

The Ateneo Press bookshop, Shopee and Lazada stores are ğ—–ğ—Ÿğ—¢ğ—¦ğ—˜ğ—— due to #TyphoonCarina. 

Regular business operations will resume as soon as it is safe enough to do so. Please stay tuned for updates.

Stay safe and dry!",Jul 24,2024-07-25T02:03:12.000Z
UAE BARQ,@UAE_BARQ_EN,https://pbs.twimg.com/media/GT5NyyPWEAA89YM?format=jpg&name=small,,4,2,528,https://x.com/UAE_BARQ_EN/status/1818976889697886338,https://x.com/UAE_BARQ_EN,"Under directives of #UAEPresident, #UAE dispatches aid plane to Philippines in response to #TyphoonCarina. 

#UAE_BARQ_EN",Aug 1,2024-08-01T11:47:40.000Z
Philippine Daily Inquirer,@phildailyinq,"https://pbs.twimg.com/media/GTyNa2AbEAAEXZJ?format=jpg&name=small, https://pbs.twimg.com/media/GTyNa2AbEAAEXZJ?format=jpg&name=small",1,1,,187,https://x.com/phildailyinq/status/1818483973909348440,https://x.com/phildailyinq,"#ğ—¤ğ˜‚ğ—²ğ˜€ğ˜ğ—¶ğ—¼ğ—»ğ—§ğ—µğ—²ğ—•ğ—¼ğ˜…: ğ—•ğ—²ğ˜†ğ—¼ğ—»ğ—± â€˜ğ—³ğ—®ğ—°ğ˜ğ˜€â€™, ğ—¯ğ˜† ğ—œğ—»ğ—²ğ˜‡ ğ—£ğ—¼ğ—»ğ—°ğ—² ğ—±ğ—² ğ—¹ğ—²ğ—¼ğ—»

Read more: https://opinion.inquirer.net/175627/beyond-factsâ€¦

#PhilippineDailyInquirer #InquirerOpinion #INQPlus #InezPonceDeLeon #TyphoonCarina",Jul 30,2024-07-31T03:08:59.000Z
hourly sungchan,@hourlysungchan,,,1,,491,https://x.com/hourlysungchan/status/1816232953946726671,https://x.com/hourlysungchan,I will be stopping my tweets for a while and will retweet about #TyphoonCarina.,Jul 24,2024-07-24T22:04:14.000Z
The Wallflower,@potatojin16,"https://pbs.twimg.com/media/GTWIqkXakAALo1P?format=jpg&name=small, https://pbs.twimg.com/media/GTWIqkXakAALo1P?format=jpg&name=small",6,7,1,275,https://x.com/potatojin16/status/1816599655087768058,https://x.com/potatojin16,"PLEASE Retweet  Pls give sum Food/Rice/Eggs/Essentials & Catfood pls  TYSM
I  have Shopee (idk if it has wishlist ) 
pp: http://paypal.me/donnajean92 

#TyphoonCarina #help #Philippines",Jul 25,2024-07-25T22:21:23.000Z
Philippine Daily Inquirer,@phildailyinq,"https://pbs.twimg.com/media/GTZA05eaYAA2biH?format=jpg&name=small, https://pbs.twimg.com/media/GTZA05eaYAA2biH?format=jpg&name=small",,1,,45,https://x.com/phildailyinq/status/1816710786649325809,https://x.com/phildailyinq,"#ğ—Ÿğ—¼ğ—¼ğ—¸ğ—¶ğ—»ğ—´ğ—•ğ—®ğ—°ğ—¸: ğ—§ğ˜†ğ—½ğ—µğ—¼ğ—¼ğ—»ğ˜€: ğ—§ğ—µğ—² ğ—³ğ˜‚ğ˜ğ˜‚ğ—¿ğ—² ğ—¼ğ—³ ğ—µğ—¶ğ˜€ğ˜ğ—¼ğ—¿ğ˜†, ğ—¯ğ˜† ğ—”ğ—ºğ—¯ğ—²ğ˜ğ—µ ğ—¥. ğ—¢ğ—°ğ—®ğ—ºğ—½ğ—¼

Read more: https://opinion.inquirer.net/175467/typhoons-the-future-of-historyâ€¦

#PhilippineDailyInquirer #InquirerOpinion #TyphoonCarina #History #INQPlus",Jul 25,2024-07-26T05:42:59.000Z
Queer Safe Spaces â„¢,@queersafespaces,"https://pbs.twimg.com/media/GTyKsB3bYAA2vCi?format=jpg&name=small, https://pbs.twimg.com/media/GTyKsB3bYAA2vCi?format=jpg&name=small",,2,,63,https://x.com/queersafespaces/status/1818480842379059582,https://x.com/queersafespaces,"Queer Safe Spaces donated 840 bottles of water to ""Isang Bigkis: Typhoon Carina Relief Operation Drive,"" organized by San Bigkis Party.

Join us in supporting their relief effort: https://facebook.com/share/p/eJChPGZ7NT6ZMfj8/?mibextid=oFDknkâ€¦

#CarinaPH #TyphoonCarina #QueerSafeSpaces

(Poster: San Bigkis Party)",Jul 30,2024-07-31T02:56:33.000Z
World Vision PH,@worldvisionph,"https://pbs.twimg.com/media/GTYxv0yW4AAtn7-?format=jpg&name=small, https://pbs.twimg.com/media/GTYxv0yW4AAtn7-?format=jpg&name=small",1,2,,113,https://x.com/worldvisionph/status/1816694199984550203,https://x.com/worldvisionph,"Take comfort in knowing you are under His protective care, a safe haven where His faithfulness shields you from harm.

#TyphoonCarina #CarinaPH #WorldVisionPH",Jul 25,2024-07-26T04:37:04.000Z
WhatALife!,@whatalifePH,"https://pbs.twimg.com/media/GUhhMcEXkAAHy4A?format=jpg&name=small, https://pbs.twimg.com/media/GUhhMcEXkAAHy4A?format=jpg&name=small",2,6,,220,https://x.com/whatalifePH/status/1821812984685228404,https://x.com/whatalifePH,"Gerald was awarded the Philippine Coast Guard (PCG) Auxiliary Search and Rescue Medal and Ribbon for his efforts during the onslaught of Typhoon 'Carina.'

READ full story here: https://whatalife.ph/gerald-anderson-receives-pcg-medal.../â€¦

#geraldanderson #geraldandersonrescue #PCG #typhooncarina",Aug 9,2024-08-09T07:37:17.000Z
World Vision PH,@worldvisionph,"https://pbs.twimg.com/media/GTiTSI2XAAA2HNr?format=jpg&name=360x360, https://pbs.twimg.com/media/GTiTSI2XAAA2HNr?format=jpg&name=360x360",1,1,,113,https://x.com/worldvisionph/status/1817364398568010030,https://x.com/worldvisionph,"ğ–ğ¨ğ«ğ¥ğ ğ•ğ¢ğ¬ğ¢ğ¨ğ§ ğ‡ğğ¥ğ©ğ¬ ğ…ğšğ¦ğ¢ğ¥ğ¢ğğ¬ ğğ«ğğ©ğšğ«ğ ğŸğ¨ğ« ğğšğ­ğ®ğ«ğšğ¥ ğƒğ¢ğ¬ğšğ¬ğ­ğğ«ğ¬ ğ°ğ¢ğ­ğ¡ ğ„ğ¦ğğ«ğ ğğ§ğœğ² ğŠğ¢ğ­ğ¬

Read more: https://worldvision.org.ph/10-reasons-why-emergency-kits-are-essential/â€¦

#TyphoonCarina #CarinaPH #Bayanihan #WorldVisionPH",Jul 27,2024-07-28T01:00:12.000Z
Strange Weather,@Psilocyndrome,"https://pbs.twimg.com/media/GTeNS13agAMB16t?format=jpg&name=360x360, https://pbs.twimg.com/media/GTeNS13agAMB16t?format=jpg&name=360x360",1,30,,657,https://x.com/Psilocyndrome/status/1817076360239808618,https://x.com/Psilocyndrome,"busy salvaging
emotions
i badly need
rest or rations

#vss365 #poem #poetry #WritingCommunity #BagyongCarina #TyphoonCarina #vssprompt #vsspoem #vss #busy",Jul 26,2024-07-27T05:55:38.000Z
The Peninsula Qatar,@PeninsulaQatar,https://pbs.twimg.com/media/GTUxcwlWgAAZq_n?format=jpg&name=360x360,,,,408,https://x.com/PeninsulaQatar/status/1816443282039198071,https://x.com/PeninsulaQatar,"Despite having experienced flooding in the past, Manila street vendor Zenaida Cuerda thought she would avoid it this time.

""Everything was so sudden. We're now back to zero. It's always like this."" Photos: AFP

Read here: https://s.thepeninsula.qa/nbjxxm
#TyphoonCarina #Manila",Jul 25,2024-07-25T12:00:00.000Z
Philippine Daily Inquirer,@phildailyinq,"https://pbs.twimg.com/media/GT8a_k9XoAA1KeL?format=jpg&name=small, https://pbs.twimg.com/media/GT8a_k9XoAA1KeL?format=jpg&name=small",,,,44,https://x.com/phildailyinq/status/1819203691351847248,https://x.com/phildailyinq,"No cohesive flood control master plan â€“ DPWH

Read more: https://newsinfo.inquirer.net/1968592/no-cohesive-flood-control-master-plan-dpwh#ixzz8hiAILAoDâ€¦

Need your daily e-paper? Subscribe here: http://inq.news/inqplus

#PhilippineDailyInquirer #INQPlus #NewsPH #TyphoonCarina #DPWH

 Photo by Marianne Bermudez",Aug 1,2024-08-02T02:48:53.000Z
World Vision PH,@worldvisionph,"https://pbs.twimg.com/media/GU6tTp_WkAA_lo0?format=jpg&name=360x360, https://pbs.twimg.com/media/GU6tTp_WkAA_lo0?format=jpg&name=360x360",1,1,,106,https://x.com/worldvisionph/status/1823585463266922699,https://x.com/worldvisionph,"LOOK: Our long-term corporate partner, @ProcterGamble, generously donated a variety of hygiene items to support our fellow Filipinos affected by Typhoon Carina. A big thank you for your unwavering support to our kababayans!

#TyphoonCarina #Bayanihan
#WeAreWorldVision #DapatReady",Aug 13,2024-08-14T05:00:29.000Z
Stefanie Arianne ã‚¹ãƒ†ãƒ•ã‚¡ãƒ‹ãƒ¼ã‚¢ãƒªã‚¢ãƒ³,@StefArianne,,,3,,107,https://x.com/StefArianne/status/1816511044371804527,https://x.com/StefArianne,"Prayers to the ones that are affected by #TyphoonCarina  

Please check on your friends and family to ensure theyâ€™re safe.",Jul 25,2024-07-25T16:29:16.000Z
Philippine Daily Inquirer,@phildailyinq,"https://pbs.twimg.com/media/GTY_Cu1agAIbTIT?format=jpg&name=small, https://pbs.twimg.com/media/GTY_Cu1agAIbTIT?format=jpg&name=small",,1,,40,https://x.com/phildailyinq/status/1816708828353954209,https://x.com/phildailyinq,"Kennon, other Cordillera roads still closed due to slides

Read more: https://newsinfo.inquirer.net/1965861/kennon-other-cordillera-roads-still-closed-due-to-slides#ixzz8h3vjmonLâ€¦

Need your daily e-paper? Subscribe here: http://inq.news/inqplus

#PhilippineDailyInquirer #INQPlus #NewsPH #TyphoonCarina #Cordillera #Kennon

 Photo from Philippine Coast Guard",Jul 25,2024-07-26T05:35:12.000Z
UAE Forsan,@UAE_Forsan,"https://pbs.twimg.com/media/GTQFSKUXwAA_suH?format=jpg&name=small, https://pbs.twimg.com/media/GTQFSKUXwAA_suH?format=jpg&name=small",,,,145,https://x.com/UAE_Forsan/status/1816088444591813086,https://x.com/UAE_Forsan,"#UAE President, VPs Offer Condolences to President of #Philippines on #TyphoonCarina Victims 
@MohamedBinZayed 
@HHShkMohd 
@HHMansoor 
@bongbongmarcos  
@UAEinManila 
@PHinUAE",Jul 24,2024-07-24T12:30:01.000Z
Climate Centre,@RCClimate,"https://pbs.twimg.com/media/GWJHN_oWsAI26L4?format=jpg&name=small, https://pbs.twimg.com/media/GWJHN_oWsAI26L4?format=jpg&name=small",8,15,,1.2K,https://x.com/RCClimate/status/1829105190902874451,https://x.com/RCClimate,".@WWAttribution today: #climatechange intensified rainfall associated w #typhooncarina (Gaemi) in W #Pacific last yr by up to 14%; pic, @philredcross aquatic rescue team wades thru floods to rescue residents in City of Valenzuela in NCR just N of #Manila - http://bit.ly/3z5ESCY",Aug 29,2024-08-29T10:33:55.000Z
IOM Philippines,@IOM_Philippines,https://pbs.twimg.com/media/GTZy9nka0AAc7wT?format=jpg&name=small,7,8,,376,https://x.com/IOM_Philippines/status/1816766110466998628,https://x.com/IOM_Philippines,"IOM is supporting the Government of the Philippines to assist communities affected by #TyphoonCarina. IOM is working with @DSWDserves and @DHSUDGovPH to address the CCCM, shelter, NFI and health needs of displaced families.",Jul 26,2024-07-26T09:22:49.000Z
IOM Philippines,@IOM_Philippines,"https://pbs.twimg.com/media/GTZy9nka0AAc7wT?format=jpg&name=small, https://pbs.twimg.com/media/GTZy9nka0AAc7wT?format=jpg&name=small",7,8,,376,https://x.com/IOM_Philippines/status/1816766110466998628,https://x.com/IOM_Philippines,"IOM is supporting the Government of the Philippines to assist communities affected by #TyphoonCarina. IOM is working with @DSWDserves and @DHSUDGovPH to address the CCCM, shelter, NFI and health needs of displaced families.",Jul 26,2024-07-26T09:22:49.000Z
UN News,@UN_News_Centre,,11,11,,3K,https://x.com/UN_News_Centre/status/1816947263949947143,https://x.com/UN_News_Centre,"Oil tanker sinks, hundreds of thousands affected as #TyphoonGaemi/#TyphoonCarina together with strong southwest monsoons lash Philippines, inc. capital region Metro Manila",Jul 26,2024-07-26T21:22:39.000Z
IOM Philippines,@IOM_Philippines,"https://pbs.twimg.com/media/GT4kdzMaQAE5o2H?format=jpg&name=small, https://pbs.twimg.com/media/GT4kdzMaQAE5o2H?format=jpg&name=small",3,6,,306,https://x.com/IOM_Philippines/status/1818933015768436987,https://x.com/IOM_Philippines,"IOM distributed 1,000 modular tents to #TyphoonCarina-affected families in Montalban and San Mateo, Rizal. With support from the Government of Australia andÂ @usaid_manila, IOM worked with @DSWDserves and @DSHUDGovPH to provide immediate assistance to displaced populations.",Aug 1,2024-08-01T08:53:19.000Z
EmbaMexFil,@EmbaMexFil,"https://pbs.twimg.com/media/GTZqDA3agAUPluy?format=jpg&name=small, https://pbs.twimg.com/media/GTZqDA3agAUPluy?format=jpg&name=small",1,2,,129,https://x.com/EmbaMexFil/status/1816756965907091912,https://x.com/EmbaMexFil,"TheEmbassy expresses its solidarity with the Government & people of thefor the damage caused by #TyphoonCarina and its condolences for the loss of human lives. @EmbaMexFil wishes thea speedy recovery and recognises the strength and resilience of this country
@DFAPHL @SRE_mx",Jul 26,2024-07-26T08:46:29.000Z
EUinthePhilippines,@EUinthePH,,3,6,2,338,https://x.com/EUinthePH/status/1816353370023813189,https://x.com/EUinthePH,The #EUinthePhilippines offers its sincerest sympathy to all those who have been affected by #TyphoonCarina. We stand in solidarity with the Filipino people as the  has mobilized its ECHO humanitarian aid expert to look into the damages brought about by the typhoon.,Jul 24,2024-07-25T06:02:44.000Z
ARN News Centre,@ARNNewsCentre,,,,,64,https://x.com/ARNNewsCentre/status/1818991949270937815,https://x.com/ARNNewsCentre,"Under the directives of President H.H. Sheikh @MohamedBinZayed, the #UAE has dispatched a plane carrying relief aid to the #Philippines to support those affected by landslides and floods caused by #TyphoonCarina.",Aug 1,2024-08-01T12:47:30.000Z
Cathy Frey,@Cathy_Frey,,1,2,1,130,https://x.com/Cathy_Frey/status/1816427023801417775,https://x.com/Cathy_Frey,"Guys, baka may kakilala kayo nasalanta ng bagyong Carina na need ng dual stove burner. Bigay ko nalang un nandito sa bahay. Bumili na kasi ako ng bago so un luma ipamigay ko nalang kesa itapon. #Carina #CarinaPh  #TyphoonCarina",Jul 25,2024-07-25T10:55:24.000Z
Virlanie Foundation,@Virlanie,"https://pbs.twimg.com/media/GULgBfmXwAAtRjC?format=jpg&name=small, https://pbs.twimg.com/media/GULgBfmXwAAtRjC?format=jpg&name=small",,,,42,https://x.com/Virlanie/status/1820263518328820085,https://x.com/Virlanie,"2,500 families affected by Typhoon Carina in Quezon City, Manila, and Bulacan received relief packs from Virlanie Foundation through the help of the Ayala Foundation. To donate, visit http://virlanie.org/donate  #AyalaFoundation #VirlanieFoundation #TyphoonCarina",Aug 4,2024-08-05T01:00:16.000Z
Dubai Eye 103.8FM,@DubaiEye1038FM,,,,,125,https://x.com/DubaiEye1038FM/status/1818993750711865704,https://x.com/DubaiEye1038FM,"Under the directives of President H.H. Sheikh @MohamedBinZayed, the #UAE has dispatched a plane carrying relief aid to the #Philippines to support those affected by landslides and floods caused by #TyphoonCarina.",Aug 1,2024-08-01T12:54:40.000Z
TheBrewNews,@TheBrewAE,,,1,,26,https://x.com/TheBrewAE/status/1819719339085267371,https://x.com/TheBrewAE,"UAE dispatches aid plane to Philippines in response to Typhoon Carina.
@UAEAid @OFMUAE @TheEmirates
#LetsBrewIt #BrewIt #TheBrewNews #UAE #Dubai #HumanitarianAid #Philippines #TyphoonCarina #ReliefEfforts #UAEforPhilippines",Aug 3,2024-08-03T12:57:53.000Z
Insular Life,@Insular_Life,,,1,,30,https://x.com/Insular_Life/status/1822156672694911423,https://x.com/Insular_Life,"Insular Foundation aids 160 typhoon-hit families in San Mateo, Rizal, through food pack distribution, in partnership with PhilRADS. This initiative supports those affected by Super Typhoon Carina's severe flooding.

#InLifeFoundation #typhooncarina",Aug 9,2024-08-10T06:22:59.000Z
Derek Van Dam,@VanDamCNN,"https://pbs.twimg.com/media/GTRwqJvXEAApH79?format=jpg&name=900x900, https://pbs.twimg.com/media/GTRwqJvXEAApH79?format=jpg&name=900x900",,1,,746,https://x.com/VanDamCNN/status/1816200425680560328,https://x.com/VanDamCNN,"And for my fellow #JournoPhish, you can clearly see what I was listening to while typing this tweet. Misspelled the local Philippine name for this typhoon. Meant to say #TyphoonCarina not â€œCariniâ€",Jul 24,2024-07-24T19:54:59.000Z
Universal Postal Union,@UPU_UN,"https://pbs.twimg.com/media/GU7V0VlWEAIjGRC?format=jpg&name=360x360, https://pbs.twimg.com/media/GU7V0VlWEAIjGRC?format=jpg&name=360x360",,5,,220,https://x.com/UPU_UN/status/1823631532231143729,https://x.com/UPU_UN,"#Philippine Post delivers essential #aid to #TyphoonCarina victims in #Marikina

In partnership with @dswdserves, @PostOfficePH provided logistics support to expedite the distribution of 3,050 #relief packs & offered its facilities as shelters for the affected communities",Aug 14,2024-08-14T08:03:33.000Z
GoodNewsPilipinas.com,@GoodNewsPinas_,,,,,43,https://x.com/GoodNewsPinas_/status/1819189618702799062,https://x.com/GoodNewsPinas_,"Over 50,000 families are still in shelters after Super Typhoon Carina, but that's not the whole story. Discover the incredible efforts of volunteers, companies, and communities rallying together! @MasungiGeo #Philippines #TyphoonCarina https://goodnewspilipinas.com/volunteer-relief-efforts-continue-in-the-philippines-following-super-typhoon-carina/â€¦ via @GoodNewsPinas_",Aug 1,2024-08-02T01:52:58.000Z
USAID Philippines,@usaid_manila,"https://pbs.twimg.com/media/GVqUz8RXAAAmWjJ?format=jpg&name=360x360, https://pbs.twimg.com/media/GVqUz8RXAAAmWjJ?format=jpg&name=360x360",1,2,,133,https://x.com/usaid_manila/status/1826936221374861673,https://x.com/usaid_manila,".@USAID and partners @EndHungerPH, @CAREphl, and @ACCORD_Inc, provided essential water, sanitation, and hygiene supplies, and cash assistance to households impacted by #TyphoonCarina in Brgy. Burgos, Candon City, Ilocos Sur.  #CarinaPH #Gaemi",Aug 23,2024-08-23T10:55:12.000Z
